순서,출원번호,출원일자,공개번호,공개일자,공고번호,공고일자,등록번호,등록일자,발명의명칭,IPC분류,출원인,요약
121,16665650,2019.10.28,20200134525,2020.04.30,20200134525,2020.04.30,,,On-Demand Transport Selection Process Facilitating Third-Party Autonomous Vehicles,"G06Q10/06,G06Q30/02,G01C21/28,G01C21/34","UATC, LLC","A network computing system can coordinate on-demand transport serviced by transport providers operating throughout a transport service region. The transport providers can comprise a set of internal autonomous vehicles (AVs) and a set of third-party AVs. The system can receive a transport request from a requesting user of the transport service region, where the transport request indicates a pick-up location and a destination. The system can determine a subset of the transport providers to service the respective transport request, and executing a selection process among the subset of the transport providers to select a transport provider to service the transport request. The system may then transmit a transport assignment to the selected transport provider to cause the selected transport provider to service the transport request."
122,16831095,2020.03.26,20210300393,2021.09.30,20210300393,2021.09.30,,,AUTOMATIC TESTING OF AUTONOMOUS VEHICLES,"B60W50/04,G07C5/00,G07C5/08,G06N20/00",GM Cruise Holdings LLC,"The present technology is effective to cause at least one processor to instruct an autonomous vehicle to navigate a specific course and to record diagnostic measurements while navigating the specific course, receive the diagnostic measurements from the autonomous vehicle, and analyze the diagnostic measurements from the autonomous vehicle in a context provided by a collection of diagnostic measurement data collected from a fleet of similar autonomous vehicles navigating the specific course."
123,17064890,2020.10.07,20210018924,2021.01.21,20210018924,2021.01.21,,,"POWER MANAGEMENT, DYNAMIC ROUTING AND MEMORY MANAGEMENT FOR AUTONOMOUS DRIVING VEHICLES","G05D1/02,G05D1/00,B60L58/12","Micron Technology, Inc.","The invention relates to a system and method for navigating an autonomous driving vehicle (ADV) that utilizes an-onboard computer and/or one or more ADV control system nodes in an ADV network platform. The on-board computer receives battery monitoring and management data concerning a battery stack. The on-board computer, utilizing a battery management system, determines the current state of charge (SOC) and other information concerning the battery stack and determines if the estimated total amount of electrical power required to navigate an ADV along a generated route to reach the predetermined destination is available. In response to determining that the ADV cannot reach the predetermined destination, the on-board computer automatically initiates a dynamic routing algorithm, which utilizes artificial intelligence, to generate alternative routes in an effort to find a route that the ADV can navigate to reach the destination utilizing the current state of charge (SOC) of the battery stack."
124,17610101,2020.04.08,20220227379,2022.07.21,20220227379,2022.07.21,,,NETWORK FOR DETECTING EDGE CASES FOR USE IN TRAINING AUTONOMOUS VEHICLE CONTROL SYSTEMS,"B60W50/04,B60W50/02,B60W60/00,B60W40/09,B60W40/02,G06N3/08",LGN Innovations Limited,"Embodiments relate to the detection of edge cases through application of a neural network to predict future vehicle environment data and identifying an edge case when the prediction error exceeds a given threshold. This allows edge cases to be identified based on unexpected vehicle environmental conditions or conditions that otherwise cause the neural network to make inaccurate predictions. These edge cases can then be utilised to better train machine learning systems, for instance, to train autonomous vehicle control systems. Alternatively, the identification of an edge case can highlight the need for remedial action, and can therefore trigger an alert to a vehicle control system to take remedial action. Further methods and systems described herein improve environmental sensing by providing a computationally efficient and accurate means for fusing sensor data and using this fused data to control sensors to focus on areas that would most reduce the uncertainty in the sensing system."
125,16389360,2019.04.19,,,11222389,2022.01.11,11222389,2022.01.11,Coordinating on-demand transportation with autonomous vehicles,"G06Q50/30,G08G1/00,G05D1/00","Uber Technologies, Inc.","An on-demand transport facilitation system can receive transport requests from requesting users throughout a given region, and select autonomous vehicles (AVs) and human driver to service the transport requests. The AV can operate on a mapped and labeled autonomy grid within the given region. For a given transport request, the transport system can determine an optimal pick-up location along the autonomy grid based on the current location of the requesting user and a current location of a selected AV, and transmit data indicating walking directions from the current location of the requesting user to the optimal pick-up location. The transport system may then coordinate the rendezvous by monitoring progress made by the requesting user and AV to the optimal pick-up location, and controlling the pace of the AV."
126,16399457,2019.04.30,,,11182623,2021.11.23,11182623,2021.11.23,Flexible hardware design for camera calibration and image pre-procesing in autonomous driving vehicles,"G06K9/00,G05D1/02,G06K9/54,G05D1/00",Baidu USA LLC,"A sensor unit includes a sensor interface, host interface, and pre-processing hardware. The sensor interface is coupled to a plurality of cameras configured to capture images around an autonomous driving vehicle (ADV). The host interface is coupled to a perception and planning system. The pre-processing hardware is coupled to the sensor interface to receive images from the plurality of cameras and to perform one or more pre-processing functions on the images and to transmit pre-processed images to the perception and planning system via the host interface. The perception and planning system is configured to perceive a driving environment surrounding the ADV based on the pre-processed images and to plan a path to control the ADV to navigate through the driving environment. The pre-processing functions can adjust for different calibrations and formats across the plurality of cameras."
127,16830090,2020.03.25,20210300427,2021.09.30,20210300427,2021.09.30,,,GROUP AND COMBINE OBSTACLES FOR AUTONOMOUS DRIVING VEHICLES,"B60W60/00,G05D1/00,G05D1/02,B60W30/09",Baidu USA LLC,"In one embodiment, a plurality of obstacles is sensed in an environment of an automated driving vehicle (ADV). One or more representations are formed to represent corresponding groupings of the plurality of obstacles. A vehicle route is determined in view of the one or more representations, rather than each and every one of the obstacles individually."
128,16678387,2019.11.08,20210139022,2021.05.13,20210139022,2021.05.13,,,DELAY DECISION MAKING FOR AUTONOMOUS DRIVING VEHICLES IN RESPONSE TO OBSTACLES BASED ON CONFIDENCE LEVEL AND DISTANCE,"B60W30/095,B60W30/09,B60W30/18,G05D1/00,G06K9/00",Baidu USA LLC,"In one embodiment, a process is performed during controlling Autonomous Driving Vehicle (ADV). A confidence level associated with a sensed obstacle is determined. If the confidence level is below a confidence threshold, and a distance between the ADV and a potential point of contact with the sensed obstacle is below a distance threshold, then performance of a driving decision is delayed. Otherwise, the driving decision is performed to reduce risk of contact with the sensed obstacle."
129,17073808,2020.10.19,20210048826,2021.02.18,20210048826,2021.02.18,,,"DEEP LEARNING-BASED AUTONOMOUS VEHICLE CONTROL DEVICE, SYSTEM INCLUDING THE SAME, AND METHOD THEREOF","G05D1/02,G05B23/02,G06N3/04","HYUNDAI MOTOR COMPANY,KIA MOTORS CORPORATION","A deep learning-based autonomous vehicle control system includes: a processor determining an autonomous driving control based on deep learning, correcting an error in determination of the deep learning-based autonomous driving control based on determination of an autonomous driving control based on a predetermined expert rule, and controlling an autonomous vehicle; and a non-transitory computer-readable storage medium storing data for the determination of the deep learning-based autonomous driving control, data for the determination of the expert rule-based autonomous driving control, and information about the error in the determination of the deep learning-based autonomous driving control."
130,16376569,2019.04.05,20190227564,2019.07.25,10915110,2021.02.09,10915110,2021.02.09,Motor vehicle control apparatus and method for operating a control apparatus for autonomously driving a motor vehicle,"G05D1/02,B60W30/16,B62D15/02,B60W30/10,B60W30/14,B60W30/18,B60K31/00,G01S13/931",VOLKSWAGEN AG,"A method for operating a control device for the autonomous guidance of a motor vehicle, wherein a nominal speed is predetermined as a driving speed to be set by the control device and another vehicle driving in front more slowly than the nominal speed is detected by a detection device of the control device, wherein a speed difference of a driving speed of the other vehicle with respect to the nominal speed is greater than zero but smaller than a predetermined maximum value. In this case, an accumulator value is set to a starting value and a current speed value of the speed difference is detected and depending on the speed value, an advantage value is formed and the advantage value is added to the accumulator value. If the accumulator value meets a predetermined overtaking criterion, an overtaking signal is generated for allowing an overtaking maneuver."
131,17073813,2020.10.19,20210034064,2021.02.04,20210034064,2021.02.04,,,"DEEP LEARNING-BASED AUTONOMOUS VEHICLE CONTROL DEVICE, SYSTEM INCLUDIG THE SAME, AND METHOD THEREOF","G05D1/02,G05B23/02,G06N3/04","HYUNDAI MOTOR COMPANY,KIA MOTORS CORPORATION","A deep learning-based autonomous vehicle control system includes: a processor determining an autonomous driving control based on deep learning, correcting an error in determination of the deep learning-based autonomous driving control based on determination of an autonomous driving control based on a predetermined expert rule, and controlling an autonomous vehicle; and a non-transitory computer-readable storage medium storing data for the determination of the deep learning-based autonomous driving control, data for the determination of the expert rule-based autonomous driving control, and information about the error in the determination of the deep learning-based autonomous driving control."
132,16522515,2019.07.25,20210027629,2021.01.28,20210027629,2021.01.28,,,BLIND AREA PROCESSING FOR AUTONOMOUS DRIVING VEHICLES,"G08G1/16,G05D1/00,G05D1/02,G08G1/01,G08G1/052",Baidu USA LLC,"According to one embodiment, a driving environment surrounding an ADV is perceived based on sensor data obtained from various sensors mounted on the ADV including detecting one or more obstacles. The obstacles of the detected obstacles are determined and tracked based on the perception process, where the obstacle states of the obstacles may be maintained in an obstacle state buffer associated with the obstacles. When it is detected that a first moving obstacle is blocked by an object by the sensors, the further movement of the first moving obstacle is predicted based on the prior obstacle states of the first moving obstacle, while the first moving obstacle is blocked in view by the object. A trajectory is planned for the ADV in view of the predicted movement of the first moving obstacle while the first moving obstacle is in the blind area."
133,16460192,2019.07.02,20210004643,2021.01.07,20210004643,2021.01.07,,,METHOD FOR AUTOMATICALLY LABELING OBJECTS IN PAST FRAMES BASED ON OBJECT DETECTION OF A CURRENT FRAME FOR AUTONOMOUS DRIVING,"G06K9/62,G06K9/00",Baidu USA LLC,"A list of images is received. The images were captured by a sensor of an ADV chronologically while driving through a driving environment. A first image of the images is identified that includes a first object in a first dimension (e.g., larger size) detected by an object detector using an object detection algorithm. In response to the detection of the first object, the images in the list are traversed backwardly in time from the first image to identify a second image that includes a second object in a second dimension (e.g., smaller size) based on a moving trail of the ADV represented by the list of images. The second object is then labeled or annotated in the second image equivalent to the first object in the first image. The list of images having the labeled second image can be utilized for subsequent object detection during autonomous driving."
134,16457847,2019.06.28,20200406893,2020.12.31,20200406893,2020.12.31,,,METHOD FOR AUTONOMOUSLY DRIVING A VEHICLE BASED ON MOVING TRAILS OF OBSTACLES SURROUNDING THE VEHICLE,"B60W30/095,B60W30/09,G06K9/00,G05D1/00",Baidu USA LLC,"During the autonomous driving, the movement trails or moving history of obstacles, as well as, an autonomous driving vehicle (ADV) may be maintained in a corresponding buffer. For each of the obstacles or objects and the ADV, the vehicle states at different points in time are maintained and stored in one or more buffers. The vehicle states representing the moving trails or moving history of the obstacles and the ADV may be utilized to reconstruct a history trajectory of the obstacles and the ADV, which may be used for a variety of purposes. For example, the moving trails or history of obstacles may be utilized to determine lane configuration of one or more lanes of a road, particularly, in a rural area where the lane markings are unclear. The moving history of the obstacles may also be utilized predict the future movement of the obstacles, tailgate an obstacle, and infer a lane line."
135,16738320,2020.01.09,20200249675,2020.08.06,10824151,2020.11.03,10824151,2020.11.03,Method and device for providing personalized and calibrated adaptive deep learning model for the user of an autonomous vehicle,"G05D1/00,B60W60/00,B60W50/00,G06K9/62,G06N20/00","StradVision, Inc.","A method for providing a dynamic adaptive deep learning model other than a fixed deep learning model, to thereby support at least one specific autonomous vehicle to perform a proper autonomous driving according to surrounding circumstances is provided. And the method includes steps of: (a) a managing device which interworks with autonomous vehicles instructing a fine-tuning system to acquire a specific deep learning model to be updated; (b) the managing device inputting video data and its corresponding labeled data to the fine-tuning system as training data, to thereby update the specific deep learning model; and (c) the managing device instructing an automatic updating system to transmit the updated specific deep learning model to the specific autonomous vehicle, to thereby support the specific autonomous vehicle to perform the autonomous driving by using the updated specific deep learning model other than a legacy deep learning model."
136,16399457,2019.04.30,20200349361,2020.11.05,20200349361,2020.11.05,,,FLEXIBLE HARDWARE DESIGN FOR CAMERA CALIBRATION AND IMAGE PRE-PROCESING IN AUTONOMOUS DRIVING VEHICLES,"G06K9/00,G05D1/02,G05D1/00,G06K9/54",Baidu USA LLC,"Flexible hardware designs for camera calibration and image pre-processing are disclosed for vehicles including autonomous driving (AD) vehicles. For one example, a sensor unit includes a sensor interface, host interface, and pre-processing hardware. The sensor interface is coupled to a plurality of cameras configured to capture images around an autonomous driving vehicle (ADV). The host interface is coupled to a perception and planning system. The pre-processing hardware is coupled to the sensor interface to receive images from the plurality of cameras and to perform one or more pre-processing functions on the images and to transmit pre-processed images to the perception and planning system via the host interface. The perception and planning system is configured to perceive a driving environment surrounding the ADV based on the pre-processed images and to plan a path to control the ADV to navigate through the driving environment. The pre-processing functions can adjust for different calibrations and formats across the plurality of cameras."
137,16712918,2019.12.12,20200193368,2020.06.18,20200193368,2020.06.18,,,TRANSPORTING OBJECTS USING AUTONOMOUS VEHICLES,"G06Q10/08,G06Q50/30,H04W4/021,H04W4/40,B60R25/10,G06Q10/02,B60R25/25",Aptiv Technologies Limited,"Techniques are disclosed for transporting objects using autonomous vehicles. In an embodiment, a customer makes a reservation with a transportation service provider (e.g., via an online booking application). The customer provides a pick-up date/pick-up time window, a destination and a description of the object(s) (e.g., luggage/cargo) that the customer will be transporting with or without themselves in the autonomous vehicle. After the computer system identifies the physical characteristics of the object(s), it identifies an autonomous vehicle with the appropriate amount of storage/container space with respect to the identified physical characteristics, and then assigns the vehicle to the customer. On or around the pick-up day, the computer system configures the assigned autonomous vehicle with reservation details including a description of the objects. At the pick-up location, sensors are used to authenticate/identify/localize/track each passenger and their respective objects, and to determine if any object is unsafe or illegal to transport."
138,16263511,2019.01.31,,,10503174,2019.12.10,10503174,2019.12.10,"Method and device for optimized resource allocation in autonomous driving on the basis of reinforcement learning using data from lidar, radar, and camera sensor","G05D1/02,G06T7/521,G01S13/93,G01S17/93,B60R11/04,G06N3/08","Stradvision, Inc.","A method for efficient resource allocation in autonomous driving by reinforcement learning is provided for reducing computation via a heterogeneous sensor fusion. This attention-based method includes steps of: a computing device instructing an attention network to perform a neural network operation by referring to attention sensor data, to calculate attention scores; instructing a detection network to acquire video data by referring to the attention scores and to generate decision data for the autonomous driving; instructing a drive network to operate the autonomous vehicle by referring to the decision data, to acquire circumstance data, and to generate a reward by referring to the circumstance data; and instructing the attention network to adjust parameters used for the neural network operation by referring to the reward. Thus, a virtual space where the autonomous vehicle optimizes the resource allocation can be provided by the method."
139,16389360,2019.04.19,20190244320,2019.08.08,20190244320,2019.08.08,,,Coordinating On-Demand Transportation with Autonomous Vehicles,"G06Q50/30,G05D1/00","Uber Technologies, Inc.","An on-demand transport facilitation system can receive transport requests from requesting users throughout a given region, and select autonomous vehicles (AVs) and human driver to service the transport requests. The AV can operate on a mapped and labeled autonomy grid within the given region. For a given transport request, the transport system can determine an optimal pick-up location along the autonomy grid based on the current location of the requesting user and a current location of a selected AV, and transmit data indicating walking directions from the current location of the requesting user to the optimal pick-up location. The transport system may then coordinate the rendezvous by monitoring progress made by the requesting user and AV to the optimal pick-up location, and controlling the pace of the AV."
140,17645725,2021.12.22,20220111870,2022.04.14,20220111870,2022.04.14,,,SYSTEMS AND METHODS FOR BROKERING PEER-ASSISTED SAFETY MODELS FOR AUTONOMOUS AND ASSISTED-DRIVING VEHICLES,B60W60/00,"Amar Srivastava,Christian Maciocco,Kshitij Arun Doshi,Ignacio J. Alvarez","Disclosed herein are systems and methods for peer-assisted safety models for autonomous and assisted-driving vehicles. In an embodiment, a safety-model service receives a safety-model request for a safety model from a target vehicle. The safety-model service identifies, responsive to receiving the safety-model request, one or more source vehicles as safety-model input sources. The safety-model service receives safety-model data associated with the identified one or more source vehicles. The safety-model service generates, based on the safety-model request and the received safety-model data, a target-vehicle safety model for the target vehicle. The safety-model service transmits the target-vehicle safety model to the target vehicle for use by the target vehicle."
141,17479197,2021.09.20,,,11400958,2022.08.02,11400958,2022.08.02,Learning to identify safety-critical scenarios for an autonomous vehicle,"B60W60/00,B60W50/02,G06N3/08,G06V20/56,B60W50/00",Motional AD LLC,"Provided are methods for learning to identify safety-critical scenarios for autonomous vehicles. First state information representing a first state of a driving scenario is received. The information includes a state of a vehicle and a state of an agent in the vehicle's environment. The first state information is processed with a neural network to determine at least one action to be performed by the agent, including a perception degradation action causing misperception of the agent by a perception system of the vehicle. Second state information representing a second state of the driving scenario is received after performance of the at least one action. A reward for the action is determined. First and second distances between the vehicle and the agent are determined and compared to determine the reward for the at least one action. At least one weight of the neural network is adjusted based on the reward."
142,17593618,2019.10.24,20220196414,2022.06.23,20220196414,2022.06.23,,,GLOBAL PATH PLANNING METHOD AND DEVICE FOR AN UNMANNED VEHICLE,"G01C21/34,G05B13/02","GOERTEK INC.,GOERTEK INC.","A global path planning method and device for an unmanned vehicle are disclosed. The method comprises: establishing an object model through a reinforcement learning method, wherein the object model includes: a state of the unmanned vehicle, an environmental state described by a map picture, and an evaluation index of a path planning result; building a deep reinforcement learning neural network based on the object model established, to obtain a stable neural network model; inputting the map picture of the environment state and the state of the unmanned vehicle into the deep reinforcement learning neural network after trained, and generating a motion path of the unmanned vehicle. According to the present disclosure, the environment information in the scene is marked through the map picture, and the map features are extracted through the deep neural network, thereby simplifying the modeling process of the map scene."
143,17491453,2021.09.30,20220019221,2022.01.20,20220019221,2022.01.20,,,AUTONOMOUS VEHICLE CONTROLLED BASED UPON A LIDAR DATA SEGMENTATION SYSTEM,"G05D1/00,B60W10/18,G05D1/02,B60W10/20,G06N3/08,B60W10/06,G01S17/931",GM GLOBAL TECHNOLOGY OPERATIONS LLC,"An autonomous vehicle is described herein. The autonomous vehicle includes a lidar sensor system. The autonomous vehicle additionally includes a computing system that executes a lidar segmentation system, wherein the lidar segmentation system is configured to identify objects that are in proximity to the autonomous vehicle based upon output of the lidar sensor system. The computing system further includes a deep neural network (DNN), where the lidar segmentation system identifies the objects in proximity to the autonomous vehicle based upon output of the DNN."
144,17226123,2021.04.09,20210223402,2021.07.22,20210223402,2021.07.22,,,AUTONOMOUS VEHICLE CONTROLLED BASED UPON A LIDAR DATA SEGMENTATION SYSTEM,"G01S17/931,G06K9/62,G05D1/00,G06N3/02,G06K9/00,G05D1/02",GM GLOBAL TECHNOLOGY OPERATIONS LLC,"An autonomous vehicle is described herein. The autonomous vehicle includes a lidar sensor system. The autonomous vehicle additionally includes a computing system that executes a lidar segmentation system, wherein the lidar segmentation system is configured to identify objects that are in proximity to the autonomous vehicle based upon output of the lidar sensor system. The computing system further includes a deep neural network (DNN), where the lidar segmentation system identifies the objects in proximity to the autonomous vehicle based upon output of the DNN."
145,16732053,2019.12.31,20200250450,2020.08.06,10776647,2020.09.15,10776647,2020.09.15,Method and device for attention-driven resource allocation by using AVM to thereby achieve safety of autonomous driving,"G06K9/00,G06K9/62,G06N3/08,G06K9/32,G05D1/02,G06K9/20","Stradvision, Inc.","A method for achieving better performance in an autonomous driving while saving computing powers, by using confidence scores representing a credibility of an object detection which is generated in parallel with an object detection process is provided. And the method includes steps of: (a) a computing device acquiring at least one circumstance image on surroundings of a subject vehicle, through at least one panorama view sensor installed on the subject vehicle; (b) the computing device instructing a Convolutional Neural Network (CNN) to apply at least one CNN operation to the circumstance image, to thereby generate initial object information and initial confidence information on the circumstance image; and (c) the computing device generating final object information on the circumstance image by referring to the initial object information and the initial confidence information."
146,16739767,2020.01.10,20200250442,2020.08.06,20200250442,2020.08.06,,,METHOD AND DEVICE FOR ATTENTION-DRIVEN RESOURCE ALLOCATION BY USING AVM AND REINFORCEMENT LEARNING TO THEREBY ACHIEVE SAFETY OF AUTONOMOUS DRIVING,"G06K9/00,G06N3/04,G06K9/62,G06N3/08,G06F17/18,G06T7/70","Stradvision, Inc.","A method for achieving better performance in an autonomous driving while saving computing powers, by using confidence scores representing a credibility of an object detection which is generated in parallel with an object detection process is provided. And the method includes steps of: (a) a computing device acquiring at least one circumstance image on surroundings of a subject vehicle, through at least one panorama view sensor installed on the subject vehicle; (b) the computing device instructing a Convolutional Neural Network (CNN) to apply at least one CNN operation to the circumstance image, to thereby generate initial object information and initial confidence information on the circumstance image; and (c) the computing device generating final object information on the circumstance image by referring to the initial object information and the initial confidence information, with a support of an RL agent."
147,16739767,2020.01.10,,,10726279,2020.07.28,10726279,2020.07.28,Method and device for attention-driven resource allocation by using AVM and reinforcement learning to thereby achieve safety of autonomous driving,"G06K9/00,G06N3/04,G06K9/62,G06F17/18,G06T7/70,G06N3/08","Stradvision, Inc.","A method for achieving better performance in an autonomous driving while saving computing powers, by using confidence scores representing a credibility of an object detection which is generated in parallel with an object detection process is provided. And the method includes steps of: (a) a computing device acquiring at least one circumstance image on surroundings of a subject vehicle, through at least one panorama view sensor installed on the subject vehicle; (b) the computing device instructing a Convolutional Neural Network(CNN) to apply at least one CNN operation to the circumstance image, to thereby generate initial object information and initial confidence information on the circumstance image; and (c) the computing device generating final object information on the circumstance image by referring to the initial object information and the initial confidence information, with a support of an RL agent."
148,17093909,2020.11.10,20210300430,2021.09.30,20210300430,2021.09.30,,,APPARATUS FOR SWITCHING CONTROL AUTHORITY OF AUTONOMOUS VEHICLE AND METHOD THEREOF,"B60W60/00,B60W40/09,B60W30/18,G06N20/00","Hyundai Motor Company,Kia Motors Corporation","An apparatus for switching driving control authority of an autonomous vehicle and a method thereof are provided to deeply learn a normal driving pattern of the autonomous vehicle corresponding to a driving situation, detect a matching degree of the driving pattern of a driver based on the deep learning result, and determine whether to retrieve the driving control authority of the driver corresponding to the detected matching degree. Accordingly, the driving control authority of the driver is retrieved to prevent an accident in advance even if there is no request to activate an autonomous driving mode of the driver."
149,16852827,2020.04.20,,,11091161,2021.08.17,11091161,2021.08.17,Apparatus for controlling lane change of autonomous vehicle and method thereof,"B60W30/18,B60W30/095,B60W60/00,B60W40/04,G06K9/00,G07C5/08,G05D1/02","HYUNDAI MOTOR COMPANY,KIA MOTORS CORPORATION","An apparatus for controlling a lane change of an autonomous vehicle and a method thereof. The apparatus includes a learning device that performs deep learning by subdividing situation information into groups to be considered when the autonomous vehicle changes a lane, and a controller that controls the lane change of the autonomous vehicle based on a learning result of the learning device."
150,16852827,2020.04.20,20210107487,2021.04.15,20210107487,2021.04.15,,,APPARATUS FOR CONTROLLING LANE CHANGE OF AUTONOMOUS VEHICLE AND METHOD THEREOF,"B60W30/18,B60W30/095,B60W60/00,B60W40/04,G05D1/02,G06K9/00,G07C5/08","HYUNDAI MOTOR COMPANY,KIA MOTORS CORPORATION","An apparatus for controlling a lane change of an autonomous vehicle and a method thereof. The apparatus includes a learning device that performs deep learning by subdividing situation information into groups to be considered when the autonomous vehicle changes a lane, and a controller that controls the lane change of the autonomous vehicle based on a learning result of the learning device."
151,16685156,2019.11.15,20210011481,2021.01.14,20210011481,2021.01.14,,,APPARATUS FOR CONTROLLING BEHAVIOR OF AUTONOMOUS VEHICLE AND METHOD THEREOF,"G05D1/02,G05D1/00,B60W40/04,G06K9/00,G06N3/04","HYUNDAI MOTOR COMPANY,KIA MOTORS CORPORATION","Disclosed are an apparatus for controlling the behavior of an autonomous vehicle and a method thereof. The apparatus includes a learning device that learns a behavior of a vehicle in a situation of avoiding an obstacle located on a road, and a controller that controls the behavior of the autonomous vehicle based on a learning result of the learning device."
152,16591233,2019.10.02,20210004016,2021.01.07,20210004016,2021.01.07,,,U-TURN CONTROL SYSTEM FOR AUTONOMOUS VEHICLE AND METHOD THEREFOR,"G05D1/02,B60W30/045","Hyundai Motor Company,Kia Motors Corporation",A U-turn control system for an autonomous vehicle is provided. The U-turn control system includes a learning device that subdivides information regarding situations to be considered when the autonomous vehicle executes a U-turn for each of a plurality of groups and performs deep learning. A controller executes a U-turn of the autonomous vehicle based on the result learned by the learning device.
153,16731083,2019.12.31,20200241544,2020.07.30,10890916,2021.01.12,10890916,2021.01.12,Location-specific algorithm selection for optimized autonomous driving,"G05D1/00,G05D1/02,B60W50/08,G06N3/08","STRADVISION, INC.","A learning method for performing a seamless parameter switch by using a location-specific algorithm selection for an optimized autonomous driving is provided. And the method includes steps of: (a) a learning device instructing a K-th convolutional layer to apply a convolution operation to K-th training images, to thereby generate K-th feature maps; (b) the learning device instructing a K-th output layer to apply a K-th output operation to the K-th feature maps, to thereby generate K-th estimated autonomous driving source information; (c) the learning device instructing a K-th loss layer to generate a K-th loss by using the K-th estimated autonomous driving source information and its corresponding GT, and then to perform backpropagation by using the K-th loss, to thereby learn K-th parameters of the K-th CNN; and (d) the learning device storing the K-th CNN in a database after tagging K-th location information to the K-th CNN."
154,16684090,2019.11.14,20210001858,2021.01.07,20210001858,2021.01.07,,,LANE CHANGE CONTROL DEVICE AND METHOD FOR AUTONOMOUS VEHICLE,"B60W30/18,G05D1/00,G06N3/08,G06N3/04","HYUNDAI MOTOR COMPANY,KIA MOTORS CORPORATION,HYUNDAI MOTOR COMPANY,KIA MOTORS CORPORATION","A lane change control device and a method for an autonomous vehicle improve safety and accuracy in changing lanes on a road. In particular, the lane change control device includes: a learning device that learns an environment in which the autonomous vehicle is able to change lanes on a road; and a controller that controls a lane change of the autonomous vehicle, based on a learned result of the learning device."
155,16406214,2019.05.08,,,11157784,2021.10.26,11157784,2021.10.26,Explainable learning system and methods for autonomous driving,"G06K9/72,G05D1/00,G06K9/62,G06N3/02,G06K9/00",GM Global Technology Operations LLC,"System and method for explaining driving behavior actions of autonomous vehicles. Combined sensor information collected at a scene understanding module is used to produce a state representation. The state representation includes predetermined types of image representations that, along with a state prediction, are used by a decision making module for determining one or more weighted behavior policies. A driving behavior action is selected and performed based on the determined one or more behavior policies. Information is then provided indicating why the selected driving behavior action was chosen in a particular driving context of the autonomous vehicle. In one or more embodiments, a user interface is configured to depict the predetermined types of image representations corresponding with the driving behavior action performed via the autonomous vehicle."
156,16893657,2020.06.05,20210300416,2021.09.30,20210300416,2021.09.30,,,Autonomous Vehicle Computing System Compute Architecture for Assured Processing,"B60W60/00,G06N3/08,G06N3/04,G06N3/063","UATC, LLC",Systems and methods are directed to an autonomy computing system of an autonomous vehicle. The autonomy computing system can include first functional circuitry configured to generate a first output associated with a first autonomous compute function of the autonomous vehicle based on sensor data using first neural networks. The autonomy computing system can include second functional circuitry configured to generate a second output associated with the first autonomous compute function of the autonomous vehicle based on the sensor data and neural networks. The autonomy computing system can include monitoring circuitry configured to determine a difference between the first output of the first functional circuitry and the second output of the second functional circuitry. The autonomy computing system can include a vehicle control system configured to generate vehicle control signals for the autonomous vehicle based on the outputs.
157,16406214,2019.05.08,20200356828,2020.11.12,20200356828,2020.11.12,,,EXPLAINABLE LEARNING SYSTEM &#x26; METHODS FOR AUTONOMOUS DRIVING,"G06K9/72,G05D1/00,G06K9/00,G06K9/62,G06N3/02",GM Global Technology Operations LLC,"System and method for explaining driving behavior actions of autonomous vehicles. Combined sensor information collected at a scene understanding module is used to produce a state representation. The state representation includes predetermined types of image representations that, along with a state prediction, are used by a decision making module for determining one or more weighted behavior policies. A driving behavior action is selected and performed based on the determined one or more behavior policies. Information is then provided indicating why the selected driving behavior action was chosen in a particular driving context of the autonomous vehicle. In one or more embodiments, a user interface is configured to depict the predetermined types of image representations corresponding with the driving behavior action performed via the autonomous vehicle."
158,16738680,2020.01.09,20200250541,2020.08.06,10824947,2020.11.03,10824947,2020.11.03,"Learning method for supporting safer autonomous driving without danger of accident by estimating motions of surrounding objects through fusion of information from multiple sources, learning device, testing method and testing device using the same","G06N20/10,G06N3/08,G06N3/04,G06N20/20,G06K9/62,G05D1/00,B60W60/00,B60W50/00","StradVision, Inc.",A learning method for supporting a safer autonomous driving through a fusion of information acquired from images and communications is provided. And the method includes steps of: (a) a learning device instructing a first neural network and a second neural network to generate an image-based feature map and a communication-based feature map by using a circumstance image and circumstance communication information; (b) the learning device instructing a third neural network to apply a third neural network operation to the image-based feature map and the communication-based feature map to generate an integrated feature map; (c) the learning device instructing a fourth neural network to apply a fourth neural network operation to the integrated feature map to generate estimated surrounding motion information; and (d) the learning device instructing a first loss layer to train parameters of the first to the fourth neural networks.
